JURISDICTION,PARCELS,CURRENT_MKT,PRIOR_MARKET,MARKET_CHANGE_PCT,CURRENT_AVERAGE_MKT,PRIOR_AVERAGE_MKT,CURRENT_TAXABLE_VALUE,PRIOR_TAXABLE_VALUE,TAXABLE_CHANGE_PCT,CURRENT_AVG_TAXABLE_VALUE,PRIOR_AVG_TAXABLE_VALUE
MESQUITE,37541,10515775070.00,8964699410.00,0.173020,280114.410112,248130.294500,8822231861,7582403288,0.1635,235002.5801,209870.2784
"MESQUITE ISD",43619,12109407640.00,10339577500.00,0.171170,277617.727137,247033.269621,8031196709,6697842133,0.1991,184121.5229,160024.8987
"NO TOWN",2104,689133980.00,524028440.00,0.315070,327535.161597,290803.795782,0,0,NULL,0.0000,0.0000
"NORTHWEST DALLAS COUNTY FCD",838,585703120.00,531256160.00,0.102487,698929.737470,637762.496999,519675283,470145911,0.1053,620137.5692,564400.8535
OVILLA,134,58923110.00,51493550.00,0.144281,439724.701493,399174.806202,45264749,40573329,0.1156,337796.6343,314521.9302
"PARKLAND HOSPITAL",544632,257186740060.00,221181772940.00,0.162785,472221.132912,421151.813634,176685954999,154227044519,0.1456,324413.4663,293663.4364
RICHARDSON,19422,8776497550.00,7537579820.00,0.164365,451884.334775,401041.756850,7069568647,6162468813,0.1472,363997.9738,327878.0959
"RICHARDSON ISD",46722,25711145790.00,22324964850.00,0.151677,550300.624759,491869.323389,17276827900,14903958748,0.1592,369779.2881,328367.8229
ROWLETT,17809,7246448200.00,6452934830.00,0.122969,406898.096468,377784.370353,6264801358,5458868279,0.1476,351777.2676,319587.1599
SACHSE,5591,2613821380.00,2367069210.00,0.104244,467505.165444,440384.969302,2220142505,1954564413,0.1359,397092.2026,363639.8908
SEAGOVILLE,4767,1320523280.00,1097211520.00,0.203527,277013.484372,242584.903825,1022509883,881556933,0.1599,214497.5630,194905.3577
SUNNYVALE,2748,1794149120.00,1621372790.00,0.106562,652892.692868,629414.902950,1275392793,1122223454,0.1365,464116.7369,435645.7508
"SUNNYVALE ISD",2748,1794149120.00,1621372790.00,0.106562,652892.692868,629414.902950,1357313034,1171663983,0.1584,493927.5961,454838.5027
UNASSIGNED,535876,252022713870.00,216709109540.00,0.162954,470300.431201,419220.884602,0,0,NULL,0.0000,0.0000
"UNIVERSITY PARK",5365,15139456000.00,13161326210.00,0.150299,2821893.010252,2465129.464319,9611743043,8729426951,0.1011,1791564.4069,1635030.3336
"VALWOOD IMPROVEMENT AUTHORITY",684,494465050.00,443748450.00,0.114291,722902.119883,659358.766716,461334524,416194919,0.1085,674465.6784,618417.4131
WILMER,1024,232385910.00,189716200.00,0.224913,226939.365234,193983.844581,169266473,147838080,0.1449,165299.2900,151163.6810
WYLIE,359,226242840.00,185787910.00,0.217748,630202.896936,580587.218750,203595642,164417541,0.2383,567118.7799,513804.8156
